ModelID;AlgorithmID;Name;Settings
10;0;PRESICE;t2_m5_fm_only
10;1;PRESICE;t2_m5_pc_all_fm
10;2;PRESICE;t2_m5_pc_folder_fm
10;3;PRESICE;t2_m5_pc_file_fm
10;4;PRESICE;t2_m5_pc_vars_fm
10;5;FIDE-ICPL;t2
10;6;FIDE-Chvatal;t2
10;7;Incling;t2
10;8;FIDE-Random;
10;9;Pledge-Min;
10;10;Pledge-Max;
11;0;PRESICE;t2_m5_fm_only
11;1;PRESICE;t2_m5_pc_all_fm
11;2;PRESICE;t2_m5_pc_folder_fm
11;3;PRESICE;t2_m5_pc_file_fm
11;4;PRESICE;t2_m5_pc_vars_fm
11;5;FIDE-ICPL;t2
11;6;FIDE-Chvatal;t2
11;7;Incling;t2
11;8;FIDE-Random;
11;9;Pledge-Min;
11;10;Pledge-Max;
12;0;PRESICE;t2_m5_fm_only
12;1;PRESICE;t2_m5_pc_all_fm
12;2;PRESICE;t2_m5_pc_folder_fm
12;3;PRESICE;t2_m5_pc_file_fm
12;4;PRESICE;t2_m5_pc_vars_fm
12;5;FIDE-ICPL;t2
12;6;FIDE-Chvatal;t2
12;7;Incling;t2
12;8;FIDE-Random;
12;9;Pledge-Min;
12;10;Pledge-Max;
13;0;PRESICE;t2_m5_fm_only
13;1;PRESICE;t2_m5_pc_all_fm
13;2;PRESICE;t2_m5_pc_folder_fm
13;3;PRESICE;t2_m5_pc_file_fm
13;4;PRESICE;t2_m5_pc_vars_fm
13;5;FIDE-ICPL;t2
13;6;FIDE-Chvatal;t2
13;7;Incling;t2
13;8;FIDE-Random;
13;9;Pledge-Min;
13;10;Pledge-Max;
14;0;PRESICE;t2_m5_fm_only
14;1;PRESICE;t2_m5_pc_all_fm
14;2;PRESICE;t2_m5_pc_folder_fm
14;3;PRESICE;t2_m5_pc_file_fm
14;4;PRESICE;t2_m5_pc_vars_fm
14;5;FIDE-ICPL;t2
14;6;FIDE-Chvatal;t2
14;7;Incling;t2
14;8;FIDE-Random;
14;9;Pledge-Min;
14;10;Pledge-Max;
15;0;PRESICE;t2_m5_fm_only
15;1;PRESICE;t2_m5_pc_all_fm
15;2;PRESICE;t2_m5_pc_folder_fm
15;3;PRESICE;t2_m5_pc_file_fm
15;4;PRESICE;t2_m5_pc_vars_fm
15;5;FIDE-ICPL;t2
15;6;FIDE-Chvatal;t2
15;7;Incling;t2
15;8;FIDE-Random;
15;9;Pledge-Min;
15;10;Pledge-Max;
10;11;PRESICE;t1_m5_pc_all_fm
11;11;PRESICE;t1_m5_pc_all_fm
12;11;PRESICE;t1_m5_pc_all_fm
13;11;PRESICE;t1_m5_pc_all_fm
14;11;PRESICE;t1_m5_pc_all_fm
15;11;PRESICE;t1_m5_pc_all_fm
