ID;Mode;Iteration;Time;Size;Error;Clauses;Literals
10;pclist_fm;0;199988958;90;false;126;162
10;pclist;0;116650289;284;false;430;578
11;pclist_fm;0;178561702;9;false;12;14
11;pclist;0;316133608;912;false;2986;11716
12;pclist_fm;0;44992505;14;false;14;14
12;pclist;0;88889790;404;false;608;923
13;pclist_fm;0;1029284384;225;false;315;406
13;pclist;0;1529399034;11217;false;21929;40432
14;pclist_fm;0;245525065;1020;false;1475;1975
14;pclist;0;308380744;3619;false;6613;18314
15;pclist_fm;0;3875100013;3512;false;5494;8767
15;pclist;0;5354578976;56131;false;85041;127492
