ModelID;AlgorithmID;SystemIteration;AlgorithmIteration;InTime;NoError;Time;Size
10;0;1;1;true;true;1399;32
10;1;1;1;true;true;1282;29
10;2;1;1;true;true;961;20
10;3;1;1;true;true;882;20
10;4;1;1;true;true;869;11
10;5;1;1;true;true;2456;33
10;6;1;1;true;true;3832;36
10;7;1;1;true;true;650;38
10;9;1;1;true;true;1222;32
10;10;1;1;true;true;1764;32
10;0;2;1;true;true;1246;34
10;1;2;1;true;true;1236;28
10;2;2;1;true;true;1006;21
10;3;2;1;true;true;916;18
10;4;2;1;true;true;841;11
10;5;2;1;true;true;2656;37
10;6;2;1;true;true;4391;36
10;7;2;1;true;true;625;38
10;9;2;1;true;true;1165;34
10;10;2;1;true;true;1591;34
10;0;3;1;true;true;1326;32
10;1;3;1;true;true;1245;28
10;2;3;1;true;true;957;20
10;3;3;1;true;true;934;18
10;4;3;1;true;true;780;10
10;5;3;1;true;true;2675;35
10;6;3;1;true;true;3960;35
10;7;3;1;true;true;617;39
10;9;3;1;true;true;1115;32
10;10;3;1;true;true;1666;32
10;0;4;1;true;true;1350;36
10;1;4;1;true;true;1287;25
10;2;4;1;true;true;928;19
10;3;4;1;true;true;1011;19
10;4;4;1;true;true;829;12
10;5;4;1;true;true;2479;34
10;6;4;1;true;true;4539;35
10;7;4;1;true;true;720;40
10;9;4;1;true;true;1175;36
10;10;4;1;true;true;1791;36
10;0;5;1;true;true;1397;34
10;1;5;1;true;true;1322;26
10;2;5;1;true;true;936;20
10;3;5;1;true;true;966;18
10;4;5;1;true;true;861;11
10;5;5;1;true;true;2469;35
10;6;5;1;true;true;3921;34
10;7;5;1;true;true;664;40
10;9;5;1;true;true;1246;34
10;10;5;1;true;true;1752;34
10;0;6;1;true;true;1404;33
10;1;6;1;true;true;1279;29
10;2;6;1;true;true;947;22
10;3;6;1;true;true;922;17
10;4;6;1;true;true;858;11
10;5;6;1;true;true;2614;35
10;6;6;1;true;true;3805;32
10;7;6;1;true;true;617;37
10;9;6;1;true;true;1236;33
10;10;6;1;true;true;1841;33
10;0;7;1;true;true;1360;33
10;1;7;1;true;true;1361;27
10;2;7;1;true;true;916;21
10;3;7;1;true;true;945;19
10;4;7;1;true;true;910;11
10;5;7;1;true;true;2523;37
10;6;7;1;true;true;3892;35
