ModelID;AlgorithmID;Name;Settings
0;0;YASA;t1_m1_pc_all
0;1;YASA;t1_m1_pc_folder
0;2;YASA;t1_m1_pc_file
0;3;YASA;t1_m1_pc_vars
0;4;YASA;t2_m1_pc_all
0;5;YASA;t2_m1_pc_folder
0;6;YASA;t2_m1_pc_file
0;7;YASA;t2_m1_pc_vars
1;0;YASA;t1_m1_pc_all
1;1;YASA;t1_m1_pc_folder
1;2;YASA;t1_m1_pc_file
1;3;YASA;t1_m1_pc_vars
1;4;YASA;t2_m1_pc_all
1;5;YASA;t2_m1_pc_folder
1;6;YASA;t2_m1_pc_file
1;7;YASA;t2_m1_pc_vars
25;0;YASA;t1_m1_pc_all
25;1;YASA;t1_m1_pc_folder
25;2;YASA;t1_m1_pc_file
25;3;YASA;t1_m1_pc_vars
25;4;YASA;t2_m1_pc_all
25;5;YASA;t2_m1_pc_folder
25;6;YASA;t2_m1_pc_file
25;7;YASA;t2_m1_pc_vars
26;0;YASA;t1_m1_pc_all
26;1;YASA;t1_m1_pc_folder
26;2;YASA;t1_m1_pc_file
26;3;YASA;t1_m1_pc_vars
26;4;YASA;t2_m1_pc_all
26;5;YASA;t2_m1_pc_folder
26;6;YASA;t2_m1_pc_file
26;7;YASA;t2_m1_pc_vars
27;0;YASA;t1_m1_pc_all
27;1;YASA;t1_m1_pc_folder
27;2;YASA;t1_m1_pc_file
27;3;YASA;t1_m1_pc_vars
27;4;YASA;t2_m1_pc_all
27;5;YASA;t2_m1_pc_folder
27;6;YASA;t2_m1_pc_file
27;7;YASA;t2_m1_pc_vars
28;0;YASA;t1_m1_pc_all
28;1;YASA;t1_m1_pc_folder
28;2;YASA;t1_m1_pc_file
28;3;YASA;t1_m1_pc_vars
28;4;YASA;t2_m1_pc_all
28;5;YASA;t2_m1_pc_folder
28;6;YASA;t2_m1_pc_file
28;7;YASA;t2_m1_pc_vars
29;0;YASA;t1_m1_pc_all
29;1;YASA;t1_m1_pc_folder
29;2;YASA;t1_m1_pc_file
29;3;YASA;t1_m1_pc_vars
29;4;YASA;t2_m1_pc_all
29;5;YASA;t2_m1_pc_folder
29;6;YASA;t2_m1_pc_file
29;7;YASA;t2_m1_pc_vars
30;0;YASA;t1_m1_pc_all
30;1;YASA;t1_m1_pc_folder
30;2;YASA;t1_m1_pc_file
30;3;YASA;t1_m1_pc_vars
30;4;YASA;t2_m1_pc_all
30;5;YASA;t2_m1_pc_folder
30;6;YASA;t2_m1_pc_file
30;7;YASA;t2_m1_pc_vars
31;0;YASA;t1_m1_pc_all
31;1;YASA;t1_m1_pc_folder
31;2;YASA;t1_m1_pc_file
31;3;YASA;t1_m1_pc_vars
31;4;YASA;t2_m1_pc_all
31;5;YASA;t2_m1_pc_folder
31;6;YASA;t2_m1_pc_file
31;7;YASA;t2_m1_pc_vars
32;0;YASA;t1_m1_pc_all
32;1;YASA;t1_m1_pc_folder
32;2;YASA;t1_m1_pc_file
32;3;YASA;t1_m1_pc_vars
32;4;YASA;t2_m1_pc_all
32;5;YASA;t2_m1_pc_folder
32;6;YASA;t2_m1_pc_file
32;7;YASA;t2_m1_pc_vars
33;0;YASA;t1_m1_pc_all
33;1;YASA;t1_m1_pc_folder
33;2;YASA;t1_m1_pc_file
33;3;YASA;t1_m1_pc_vars
33;4;YASA;t2_m1_pc_all
33;5;YASA;t2_m1_pc_folder
33;6;YASA;t2_m1_pc_file
33;7;YASA;t2_m1_pc_vars
34;0;YASA;t1_m1_pc_all
34;1;YASA;t1_m1_pc_folder
34;2;YASA;t1_m1_pc_file
34;3;YASA;t1_m1_pc_vars
34;4;YASA;t2_m1_pc_all
34;5;YASA;t2_m1_pc_folder
34;6;YASA;t2_m1_pc_file
34;7;YASA;t2_m1_pc_vars
35;0;YASA;t1_m1_pc_all
35;1;YASA;t1_m1_pc_folder
35;2;YASA;t1_m1_pc_file
35;3;YASA;t1_m1_pc_vars
35;4;YASA;t2_m1_pc_all
35;5;YASA;t2_m1_pc_folder
35;6;YASA;t2_m1_pc_file
35;7;YASA;t2_m1_pc_vars
36;0;YASA;t1_m1_pc_all
36;1;YASA;t1_m1_pc_folder
36;2;YASA;t1_m1_pc_file
36;3;YASA;t1_m1_pc_vars
36;4;YASA;t2_m1_pc_all
36;5;YASA;t2_m1_pc_folder
36;6;YASA;t2_m1_pc_file
36;7;YASA;t2_m1_pc_vars
37;0;YASA;t1_m1_pc_all
37;1;YASA;t1_m1_pc_folder
37;2;YASA;t1_m1_pc_file
37;3;YASA;t1_m1_pc_vars
37;4;YASA;t2_m1_pc_all
37;5;YASA;t2_m1_pc_folder
37;6;YASA;t2_m1_pc_file
37;7;YASA;t2_m1_pc_vars
38;0;YASA;t1_m1_pc_all
38;1;YASA;t1_m1_pc_folder
38;2;YASA;t1_m1_pc_file
38;3;YASA;t1_m1_pc_vars
38;4;YASA;t2_m1_pc_all
38;5;YASA;t2_m1_pc_folder
38;6;YASA;t2_m1_pc_file
38;7;YASA;t2_m1_pc_vars
39;0;YASA;t1_m1_pc_all
39;1;YASA;t1_m1_pc_folder
39;2;YASA;t1_m1_pc_file
39;3;YASA;t1_m1_pc_vars
39;4;YASA;t2_m1_pc_all
