ID;Mode;Iteration;Time;Size;Error;Clauses;Literals
0;pclist_fm;0;39058953;0;false;0;0
0;pclist;0;9727246;0;false;0;0
25;pclist;0;1050053244;3296;false;5046;7281
27;pclist;0;78110532;700;false;1161;1871
29;pclist;0;174384066;1506;false;2491;3785
30;pclist;0;50461760;393;false;663;962
32;pclist;0;116268792;606;false;708;810
34;pclist;0;312458276;2452;false;4423;6757
35;pclist;0;62845654;810;false;1302;1859
36;pclist;0;65618363;568;false;875;1219
37;pclist;0;265779343;1757;false;3937;7421
38;pclist;0;132519778;780;false;1482;4075
44;pclist;0;39565194;318;false;369;428
45;pclist;0;53918477;454;false;539;631
46;pclist;0;395703882;3947;false;8714;16613
47;pclist;0;45341832;380;false;802;1969
51;pclist;0;20851085;223;false;278;332
52;pclist;0;23613326;253;false;313;373
55;pclist;0;97186049;1128;false;1589;2077
56;pclist;0;316887733;3680;false;6577;10262
57;pclist;0;21100099;324;false;496;714
59;pclist;0;149205808;1551;false;2720;4145
63;pclist;0;174247199;1821;false;2915;4360
