ModelID;AlgorithmID;SystemIteration;AlgorithmIteration;InTime;NoError;Time;Size
0;0;1;1;true;true;234;2
0;1;1;1;true;true;231;2
0;2;1;1;true;true;233;2
0;3;1;1;true;true;232;2
0;4;1;1;true;true;235;7
0;5;1;1;true;true;240;7
0;6;1;1;true;true;235;7
0;7;1;1;true;true;254;7
0;0;2;1;true;true;235;2
0;1;2;1;true;true;241;2
0;2;2;1;true;true;236;2
0;3;2;1;true;true;249;2
0;4;2;1;true;true;245;7
0;5;2;1;true;true;240;7
0;6;2;1;true;true;238;7
0;7;2;1;true;true;242;8
0;0;3;1;true;true;263;2
0;1;3;1;true;true;247;2
0;2;3;1;true;true;263;2
0;3;3;1;true;true;248;2
0;4;3;1;true;true;238;6
0;5;3;1;true;true;240;6
0;6;3;1;true;true;248;6
0;7;3;1;true;true;239;6
0;0;4;1;true;true;240;2
0;1;4;1;true;true;249;2
0;2;4;1;true;true;239;2
0;3;4;1;true;true;254;2
0;4;4;1;true;true;241;7
0;5;4;1;true;true;261;7
0;6;4;1;true;true;238;7
0;7;4;1;true;true;238;7
0;0;5;1;true;true;233;2
0;1;5;1;true;true;265;2
0;2;5;1;true;true;241;2
0;3;5;1;true;true;275;2
0;4;5;1;true;true;240;6
0;5;5;1;true;true;242;6
0;6;5;1;true;true;268;6
0;7;5;1;true;true;242;7
0;0;6;1;true;true;243;2
0;1;6;1;true;true;259;2
0;2;6;1;true;true;255;2
0;3;6;1;true;true;245;2
0;4;6;1;true;true;254;8
0;5;6;1;true;true;236;8
0;6;6;1;true;true;260;8
0;7;6;1;true;true;256;6
0;0;7;1;true;true;236;2
0;1;7;1;true;true;253;2
0;2;7;1;true;true;238;2
0;3;7;1;true;true;245;2
0;4;7;1;true;true;250;6
0;5;7;1;true;true;263;6
0;6;7;1;true;true;266;6
0;7;7;1;true;true;249;7
0;0;8;1;true;true;252;2
0;1;8;1;true;true;258;2
0;2;8;1;true;true;253;2
0;3;8;1;true;true;255;2
0;4;8;1;true;true;247;7
0;5;8;1;true;true;240;7
0;6;8;1;true;true;245;7
0;7;8;1;true;true;244;8
0;0;9;1;true;true;240;2
0;1;9;1;true;true;239;2
0;2;9;1;true;true;238;2
0;3;9;1;true;true;260;2
0;4;9;1;true;true;242;6
0;5;9;1;true;true;243;6
0;6;9;1;true;true;241;6
0;7;9;1;true;true;241;7
0;0;10;1;true;true;247;2
0;1;10;1;true;true;241;2
0;2;10;1;true;true;249;2
0;3;10;1;true;true;242;2
0;4;10;1;true;true;238;7
0;5;10;1;true;true;248;7
0;6;10;1;true;true;243;7
0;7;10;1;true;true;239;6
0;0;11;1;true;true;238;2
0;1;11;1;true;true;237;2
0;2;11;1;true;true;252;2
0;3;11;1;true;true;242;2
0;4;11;1;true;true;252;6
0;5;11;1;true;true;245;6
0;6;11;1;true;true;255;6
0;7;11;1;true;true;277;7
0;0;12;1;true;true;244;2
0;1;12;1;true;true;237;2
0;2;12;1;true;true;242;2
0;3;12;1;true;true;242;2
0;4;12;1;true;true;240;6
0;5;12;1;true;true;240;6
0;6;12;1;true;true;246;6
0;7;12;1;true;true;255;7
0;0;13;1;true;true;246;2
0;1;13;1;true;true;265;2
0;2;13;1;true;true;240;2
0;3;13;1;true;true;240;2
0;4;13;1;true;true;251;8
0;5;13;1;true;true;250;8
0;6;13;1;true;true;237;8
0;7;13;1;true;true;243;8
0;0;14;1;true;true;245;2
0;1;14;1;true;true;239;2
0;2;14;1;true;true;245;2
0;3;14;1;true;true;242;2
0;4;14;1;true;true;249;7
0;5;14;1;true;true;237;7
0;6;14;1;true;true;246;7
0;7;14;1;true;true;242;7
0;0;15;1;true;true;236;2
0;1;15;1;true;true;267;2
0;2;15;1;true;true;254;2
0;3;15;1;true;true;239;2
0;4;15;1;true;true;247;6
0;5;15;1;true;true;266;6
0;6;15;1;true;true;243;6
0;7;15;1;true;true;238;8
0;0;16;1;true;true;247;2
0;1;16;1;true;true;251;2
0;2;16;1;true;true;250;2
0;3;16;1;true;true;241;2
0;4;16;1;true;true;240;6
0;5;16;1;true;true;238;6
0;6;16;1;true;true;243;6
0;7;16;1;true;true;250;6
0;0;17;1;true;true;263;2
0;1;17;1;true;true;243;2
