ID;Mode;Iteration;Time;Size;Error
0;fm_only;0;23089060;12;false
0;pc_all_fm;0;3706658;0;false
0;pc_all_fm_fm;0;6123901;12;false
0;pc_folder_fm;0;1358082;0;false
0;pc_file_fm;0;1196907;0;false
0;pc_vars_fm;0;3727371;12;false
0;pc_all;0;953042;0;false
0;pc_folder;0;890884;0;false
0;pc_file;0;872243;0;false
0;pc_vars;0;917127;12;false
25;pc_all;0;169328811;3278;false
25;pc_folder;0;158546557;3278;false
25;pc_file;0;126331270;3278;false
25;pc_vars;0;111613238;2896;false
27;pc_all;0;25018016;695;false
27;pc_folder;0;31458185;695;false
27;pc_file;0;31571076;695;false
27;pc_vars;0;24920750;560;false
29;pc_all;0;58674323;1495;false
29;pc_folder;0;60785250;1495;false
29;pc_file;0;53705192;1495;false
29;pc_vars;0;52538583;1060;false
30;pc_all;0;13554874;393;false
30;pc_folder;0;13770675;393;false
30;pc_file;0;13900327;393;false
30;pc_vars;0;13528129;224;false
32;pc_all;0;19114036;606;false
32;pc_folder;0;20018703;606;false
32;pc_file;0;21464897;606;false
32;pc_vars;0;18674618;566;false
34;pc_all;0;81409088;2420;false
34;pc_folder;0;83874222;2420;false
34;pc_file;0;89415230;2420;false
34;pc_vars;0;75677776;1116;false
35;pc_all;0;25895700;796;false
35;pc_folder;0;25289023;796;false
35;pc_file;0;25217383;796;false
35;pc_vars;0;24989039;474;false
36;pc_all;0;18939567;567;false
36;pc_folder;0;19128081;567;false
36;pc_file;0;18963426;567;false
36;pc_vars;0;18260154;436;false
37;pc_all;0;60855759;1752;false
37;pc_folder;0;62119133;1752;false
37;pc_file;0;61548373;1752;false
37;pc_vars;0;61067966;604;false
38;pc_all;0;27744997;777;false
38;pc_folder;0;27738391;777;false
38;pc_file;0;27504944;777;false
38;pc_vars;0;26880633;600;false
44;pc_all;0;9578038;318;false
44;pc_folder;0;9476825;318;false
44;pc_file;0;9604455;318;false
44;pc_vars;0;9258556;316;false
45;pc_all;0;13373564;453;false
45;pc_folder;0;13856566;453;false
45;pc_file;0;13730421;453;false
45;pc_vars;0;13551546;430;false
46;pc_all;0;136204037;3888;false
46;pc_folder;0;137386476;3888;false
46;pc_file;0;134774228;3888;false
46;pc_vars;0;132504909;1016;false
47;pc_all;0;13848441;378;false
47;pc_folder;0;13907301;378;false
47;pc_file;0;14065750;378;false
47;pc_vars;0;14212999;292;false
51;pc_all;0;7084884;223;false
51;pc_folder;0;7672145;223;false
51;pc_file;0;7418032;223;false
51;pc_vars;0;7099686;174;false
52;pc_all;0;8034700;253;false
52;pc_folder;0;8196342;253;false
52;pc_file;0;8132218;253;false
52;pc_vars;0;7931918;288;false
55;pc_all;0;34816631;1128;false
55;pc_folder;0;35084258;1128;false
55;pc_file;0;36632700;1128;false
55;pc_vars;0;35034384;934;false
56;pc_all;0;119743262;3659;false
56;pc_folder;0;120452683;3659;false
56;pc_file;0;121911430;3659;false
56;pc_vars;0;116839050;1978;false
57;pc_all;0;10455930;324;false
57;pc_folder;0;11269881;324;false
57;pc_file;0;10883789;324;false
57;pc_vars;0;10878539;298;false
59;pc_all;0;50906538;1546;false
59;pc_folder;0;52716241;1546;false
59;pc_file;0;52991696;1546;false
59;pc_vars;0;48887229;858;false
63;pc_all;0;59362845;1814;false
63;pc_folder;0;57910682;1814;false
63;pc_file;0;58113822;1814;false
63;pc_vars;0;58706498;1454;false
