Name;Version;Coverage (t);Sample Size;Time;Memory Usage
FinancialServices01;2018-05-09;2;4405;79799;528482304
FinancialServices01;2018-04-23;2;4422;81602;528482304
FinancialServices01;2018-03-26;2;3559;72242;528482304
FinancialServices01;2018-02-20;2;3647;64964;528482304
FinancialServices01;2018-01-23;2;3184;47636;281018368
FinancialServices01;2017-12-22;2;3188;48626;281018368
FinancialServices01;2017-11-20;2;3184;46844;281018368
FinancialServices01;2017-10-20;2;3190;46013;197132288
FinancialServices01;2017-09-28;2;3193;45731;209715200
FinancialServices01;2017-05-22;2;402;12038;125829120

